QID,Question,A,B,C,D,Answer,PathID,PathLen,PrScores,EdgeScores,AvgPrScore,AvgEdgeScore,Path,Label,Prob
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,1,3,"[0.206192641924, 0.0126331050293, 0.00730323853336, 0.00629885845911]","[0.574756922627, 1.0, 1.10804764969]",0.0581069609864,0.894268190772,rock cycleigneous rockRock Cycle is the continual process by which new rock forms from old rock material is called the rock cycle.igneous rock is Forms when hot magma cools and becomes solid./igneous rock is Forms when hot liquid rock cools and hardens./igneous rock is forms as molten rock cools and becomes solid./Igneous Rock is Forms as molten rock cools and becomes solid./Igneous rock is Forms when magma or lava cools.,2.0,0.252139
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,7,3,"[0.206192641924, 0.00924729465443, 0.00730323853336, 0.00629885845911]","[0.574756922627, 1.0, 1.10804764969]",0.0572605083927,0.894268190772,rock cycleigneous rockRock Cycle is the continual process by which new rock forms from old rock material is called the rock cycle.igneous rock is Forms when hot magma cools and becomes solid./igneous rock is Forms when hot liquid rock cools and hardens./igneous rock is forms as molten rock cools and becomes solid./Igneous Rock is Forms as molten rock cools and becomes solid./Igneous rock is Forms when magma or lava cools.,2.0,0.252139
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,8,3,"[0.0436075565457, 0.00251330727044, 0.000670678719565, 0.00629885845911]","[0.591307392471, 1.0, 0.770743553865]",0.0132726002487,0.787350315445,liquid magmaigneous rockLava is Liquid magma that reaches the surface; also the rock formed when liquid lava hardens./lava is liquid magma that reaches the surface; also the rock formed when liquid lava hardens.intrusive is igneous rock that forms when magma hardens beneath Earths surface.,2.0,0.252139
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,9,3,"[0.0436075565457, 0.00251330727044, 0.000342291836901, 0.00629885845911]","[0.591307392471, 1.0, 0.782483305528]",0.013190503528,0.791263566,liquid magmaigneous rockLava is Liquid magma that reaches the surface; also the rock formed when liquid lava hardens./lava is liquid magma that reaches the surface; also the rock formed when liquid lava hardens.extrusive is igneous rock that forms when magma hardens on Earths surface.,2.0,0.252139
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,10,3,"[0.0436075565457, 0.0050986505658, 0.00692276097245, 0.00629885845911]","[0.591307392471, 1.0, 0.425867941794]",0.0154819566358,0.672391778088,liquid magmaigneous rockLava is Liquid magma that reaches the surface; also the rock formed when liquid lava hardens.Igneous Rock is forms when magma or lava cools.,2.0,0.252139
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,11,4,"[0.0436075565457, 0.0050986505658, 0.000313961598814, 0.00730323853336, 0.00629885845911]","[0.591307392471, 0.562732987612, 1.0, 1.10804764969]",0.0125244531406,0.815522007443,liquid magmaigneous rockLava is Liquid magma that reaches the surface; also the rock formed when liquid lava hardens.volcanic glass is rock that forms when lava cools too quickly to form crystals. biochemical rock is sedimentary rock that was formed by organisms or contains the remains of organisms.igneous rock is Forms when hot magma cools and becomes solid./igneous rock is Forms when hot liquid rock cools and hardens./igneous rock is forms as molten rock cools and becomes solid./Igneous Rock is Forms as molten rock cools and becomes solid./Igneous rock is Forms when magma or lava cools.,2.0,0.252139
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,12,2,"[0.0436075565457, 0.0050986505658, 0.00629885845911]","[0.591307392471, 1.0]",0.0183350218569,0.795653696235,liquid magmaigneous rockLava is Liquid magma that reaches the surface; also the rock formed when liquid lava hardens.,2.0,0.252139
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,13,4,"[0.0436075565457, 0.0050986505658, 0.00497276440896, 0.00730323853336, 0.00629885845911]","[0.591307392471, 1.0, 0.782992353928, 1.10804764969]",0.0134562137026,0.870586849022,liquid magmaigneous rockLava is Liquid magma that reaches the surface; also the rock formed when liquid lava hardens.Igneous Rocks is Forms when hot liquid rock cools and hardens.igneous rock is Forms when hot magma cools and becomes solid./igneous rock is Forms when hot liquid rock cools and hardens./igneous rock is forms as molten rock cools and becomes solid./Igneous Rock is Forms as molten rock cools and becomes solid./Igneous rock is Forms when magma or lava cools.,2.0,0.252139
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,14,2,"[0.0436075565457, 0.00600553995798, 0.00629885845911]","[0.70867051633, 0.820416696852]",0.0186373183209,0.764543606591,liquid magmaigneous rockigneous rock is formed from magma.,2.0,0.252139
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,16,2,"[0.200184697477, 0.00692276097245, 0.00629885845911]","[1.0, 0.425867941794]",0.0711354389695,0.712933970897,cooligneous rockIgneous Rock is forms when magma or lava cools.,2.0,0.252139
